,0
2021-07-24,4.3810434
2021-07-25,4.2978554
2021-07-26,4.2153
2021-07-27,4.095671
2021-07-28,6.5186005
2021-07-29,7.6651964
2021-07-30,7.539628
2021-07-31,7.0376215
2021-08-01,6.4514356
2021-08-02,5.9020886
2021-08-03,5.520131
2021-08-04,5.2198753
2021-08-05,4.977934
2021-08-06,4.7644057
2021-08-07,4.6097803
2021-08-08,4.4732666
2021-08-09,4.3562403
2021-08-10,4.260454
2021-08-11,4.3132935
2021-08-12,4.400663
2021-08-13,4.4693856
2021-08-14,4.4992166
2021-08-15,4.4169245
2021-08-16,4.406708
2021-08-17,4.307499
2021-08-18,4.0764875
2021-08-19,3.8093605
2021-08-20,3.54534
2021-08-21,3.334909
2021-08-22,3.184976
2021-08-23,3.076486
2021-08-24,2.962377
2021-08-25,2.8167415
2021-08-26,2.6429148
2021-08-27,2.5974755
2021-08-28,3.4148827
2021-08-29,4.020325
2021-08-30,4.239161
2021-08-31,4.2359805
2021-09-01,4.0457087
2021-09-02,3.7523375
2021-09-03,3.409387
2021-09-04,3.0929837
2021-09-05,2.8369331
2021-09-06,2.6540518
2021-09-07,2.545776
2021-09-08,2.448944
2021-09-09,2.3494353
2021-09-10,2.6414871
2021-09-11,2.9338284
2021-09-12,3.023491
2021-09-13,2.9984274
2021-09-14,2.7630363
2021-09-15,2.7125063
2021-09-16,2.9530802
2021-09-17,3.228054
2021-09-18,3.3137865
2021-09-19,3.2150273
2021-09-20,2.9950314
2021-09-21,2.789105
2021-09-22,2.8997445
2021-09-23,3.235816
2021-09-24,3.5369267
2021-09-25,3.8817286
2021-09-26,4.0856843
2021-09-27,4.0094147
2021-09-28,3.780653
2021-09-29,3.5624738
2021-09-30,3.5071154
2021-10-01,3.8200684
2021-10-02,4.0121303
2021-10-03,5.579442
2021-10-04,6.544342
2021-10-05,6.589118
2021-10-06,5.9179983
2021-10-07,5.143366
2021-10-08,4.4774694
2021-10-09,4.0340853
2021-10-10,4.1693144
2021-10-11,4.393392
2021-10-12,4.346652
2021-10-13,4.0982337
2021-10-14,3.762897
2021-10-15,3.9327264
2021-10-16,4.6994934
2021-10-17,4.9246635
2021-10-18,7.370272
2021-10-19,8.983097
2021-10-20,8.88921
2021-10-21,7.775493
2021-10-22,6.430175
2021-10-23,5.1876545
2021-10-24,6.330452
2021-10-25,7.159278
2021-10-26,7.823215
2021-10-27,8.647163
2021-10-28,11.342198
2021-10-29,14.704767
2021-10-30,15.653292
2021-10-31,15.211248
2021-11-01,15.78311
2021-11-02,16.076948
2021-11-03,13.773409
2021-11-04,10.75909
2021-11-05,8.433564
2021-11-06,6.890444
2021-11-07,5.857883
2021-11-08,5.131951
2021-11-09,4.6213474
2021-11-10,4.237918
2021-11-11,4.156496
2021-11-12,4.2661448
2021-11-13,4.511257
2021-11-14,4.6914043
2021-11-15,4.685896
2021-11-16,4.474492
2021-11-17,4.064809
2021-11-18,4.799878
2021-11-19,15.802875
2021-11-20,33.09231
2021-11-21,32.390438
2021-11-22,18.535576
2021-11-23,9.910072
2021-11-24,7.6871767
2021-11-25,6.3816366
2021-11-26,6.478345
2021-11-27,6.9647183
2021-11-28,6.7929754
2021-11-29,6.049678
2021-11-30,12.358769
2021-12-01,22.618778
2021-12-02,19.838953
2021-12-03,14.10597
2021-12-04,9.748233
2021-12-05,7.2081823
2021-12-06,6.0371275
2021-12-07,5.55717
2021-12-08,5.3411045
2021-12-09,5.0551786
2021-12-10,4.626606
2021-12-11,4.116009
2021-12-12,3.7027755
2021-12-13,3.5938249
2021-12-14,3.6588092
2021-12-15,4.00684
2021-12-16,5.230299
2021-12-17,12.271653
2021-12-18,22.733086
2021-12-19,24.457838
2021-12-20,16.16859
2021-12-21,8.557387
2021-12-22,5.429598
2021-12-23,5.081189
2021-12-24,5.041723
2021-12-25,4.6869345
2021-12-26,4.188831
